serial_number,filing_date,effective_filing_date,filing_basis,first_oa_date,registration_date,abandonment_date,disposal_date,ib_notification_date,sou_filing_date,sou_processed_date,extension_request_date,extension_processed_date,divisional_request_date,divisional_processed_date,lop_filing_date,lop_processed_date,affidavit_filing_date,affidavit_processed_date,amendment_filing_date,amendment_processed_date,renewal_filing_date,renewal_processed_date,esu_response_date,esu_processed_date,_valid_from,_valid_to,_is_current,_updated_ts
50000661,2026-07-19,2026-07-19,TEAS,2026-08-24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50000702,2026-07-19,2026-07-19,TEAS,2026-08-25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50001668,2026-07-20,2026-07-20,TEAS,2026-08-21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50001770,2026-07-20,2026-07-20,TEAS,2026-08-28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50002894,2026-07-20,2026-07-20,TEAS,2026-08-29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50004190,2026-07-21,2026-07-21,TEAS,2026-08-21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50004738,2026-07-21,2026-07-21,TEAS,2026-08-26,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50004778,2026-07-21,2026-07-21,TEAS,2026-08-25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50005281,2026-07-21,2026-07-21,TEAS,2026-08-25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50005346,2026-07-21,2026-07-21,TEAS,2026-08-27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50005475,2026-07-21,2026-07-21,TEAS,2026-08-21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50005488,2026-07-21,2026-07-21,TEAS,2026-08-27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
50005748,2026-07-21,2026-07-21,TEAS,2026-08-28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2026-09-02T10:45:18.953Z,null,true,2026-09-02T10:45:18.953Z
