fk_class_id,fk_trademark_gid,fk_tm_class_status_cd,lock_control_no,create_ts,create_user_id,last_mod_ts,last_mod_user_id,cfk_transaction_instance_gid,begin_effective_ts,end_effective_ts,gds_srvcs_stmnt_tx,gds_srvcs_stmnt_annotated_tx,first_use_in_commerce_month_no,first_use_in_commerce_day_no,first_use_in_commerce_year_no,first_use_anywhere_month_no,first_use_anywhere_day_no,first_use_anywhere_year_no,intent_to_use_dt,action_ct,status_dt,excessive_character_fee_cnt_no
271,Trademark:0:73727381,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-25T23:20:01.187Z,BAND SAW BLADES,null,4,20,1988,4,15,1988,null,I,0001-01-01T00:00:00.000Z,0
297,Trademark:0:73535655,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-25T23:20:01.187Z,WINE,null,0,0,1947,0,0,1859,null,I,0001-01-01T00:00:00.000Z,0
296,Trademark:0:73535661,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-18T23:20:01.933Z,FRUIT JUICES WITH HERBAL EXTRACT,null,9,28,1984,9,28,1984,null,I,0001-01-01T00:00:00.000Z,0
306,Trademark:0:73535694,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-18T23:20:01.933Z,RETAIL AND PROMOTIONAL MATERIALS,null,10,22,1984,10,22,1984,null,I,0001-01-01T00:00:00.000Z,0
273,Trademark:0:73535712,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,COMPUTER SOFTWARE,null,3,20,1985,3,20,1985,null,I,0001-01-01T00:00:00.000Z,0
273,Trademark:0:73535718,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,RADIO PAGERS,null,1,30,1985,12,1,1984,null,I,0001-01-01T00:00:00.000Z,0
289,Trademark:0:73535743,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-27T23:20:01.268Z,SHIRTS,null,3,10,1985,11,13,1984,null,I,0001-01-01T00:00:00.000Z,0
303,Trademark:0:73535758,8,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-12T23:20:01.539Z,TRANSPORTATION OF GOODS,null,0,0,1964,0,0,1964,null,I,0001-01-01T00:00:00.000Z,0
290,Trademark:0:73535769,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-09-27T23:20:01.268Z,"BEAUTICIAN ARTICLES, NAMELY FROSTING CAPS",null,3,13,1980,3,13,1980,null,I,0001-01-01T00:00:00.000Z,0
306,Trademark:0:73535779,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,FLUID ANALYSIS SERVICES,null,2,15,1985,2,15,1985,null,I,0001-01-01T00:00:00.000Z,0
293,Trademark:0:73684712,2,0,2017-10-14T22:21:23.541Z,3333330011,2017-10-14T22:21:23.541Z,3333330011,Transaction:0:1,2017-10-14T22:21:23.541Z,2021-08-22T23:20:01.445Z,CHEESE,null,8,27,1987,8,27,1987,null,I,0001-01-01T00:00:00.000Z,0
