FK_TRADEMARK_GID,AMENDMENT_TO_USE_FILED_IN,APPLICATION_MARK_IN_1,APPLICATION_MARK_IN_2,FINAL_ACTION_REFUSAL_ATU_IN,FIRST_ACTION_REFUSAL_ATU_IN,AVAILABLE_FOR_SOU_IN,EXTENSIONS_NOT_ALLOWED_IN,HOLD_FIRST_ACTION_RFSL_ATU_IN,LAST_UA_TRAN_INFRML_RSP_RCV_IN,LAST_UA_TRAN_INFRML_LTR_ML_IN,ITU_CASE_PUBD_FOR_OPSTN_IN,ITU_FREEZE_PERIOD_IN,LATEST_ITU_FILNG_RECEIVED_DT,SOU_EXT_DENIAL_LTR_MAILED_IN,LAST_EXT_TRAN_DNIL_LTR_PREP_IN,LAST_POSSIBLE_EXTENSION_DT,LAST_EXT_TRAN_SOU_EXT_FILED_IN,USE_AFFIDAVIT_PRCSG_COMPLT_IN,NOA_ISSUED_IN,SOU_EXTENSION_REQ_FILED_IN,NOA_MAILED_IN,POTENTIEL_ABANDONMENT_DT,SOU_RECEIVED_DT,LOCK_CONTROL_NO,CREATE_TS,CREATE_USER_ID,LAST_MOD_TS,LAST_MOD_USER_ID,ACTION_CT,CFK_TRANSACTION_INSTANCE_GID,BEGIN_EFFECTIVE_TS,END_EFFECTIVE_TS
Trademark:0:85385135,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2012-06-20,N,Y,N,N,Y,2012-06-20,2012-03-12,1,2022-08-21T14:25:15.419Z,333333,2022-08-21T14:25:15.419Z,333333,U,Transaction:3964:827,2022-08-21T14:25:15.550Z,2023-11-29T23:05:20.002Z
Trademark:0:85148903,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2012-05-22,N,Y,N,N,Y,2012-05-22,2011-12-12,1,2022-08-21T14:26:35.956Z,333333,2022-08-21T14:26:35.956Z,333333,U,Transaction:3964:829,2022-08-21T14:26:36.105Z,2023-11-29T23:05:20.002Z
Trademark:0:85356857,Y,N,N,N,Y,N,N,N,N,N,Y,N,null,N,N,2012-08-07,N,Y,N,N,Y,2012-08-07,2012-02-24,1,2022-08-21T14:34:48.127Z,333333,2022-08-21T14:34:48.127Z,333333,U,Transaction:3964:839,2022-08-21T14:34:48.285Z,2023-11-29T23:05:20.002Z
Trademark:0:85562238,Y,N,N,N,N,N,N,N,N,N,Y,N,2022-08-21,N,N,2013-01-03,N,Y,N,N,Y,2013-01-03,2012-12-05,1,2022-08-21T18:06:58.394Z,333333,2022-08-21T18:06:58.394Z,333333,U,Transaction:3964:1296,2022-08-21T18:06:58.513Z,2022-08-21T18:07:01.018Z
Trademark:0:85562238,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2013-01-03,N,Y,N,N,Y,2013-01-03,2012-12-05,1,2022-08-21T18:07:00.902Z,333333,2022-08-21T18:07:00.902Z,333333,U,Transaction:3964:1297,2022-08-21T18:07:01.019Z,2023-11-29T23:05:20.002Z
Trademark:0:87358384,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-10-12,null,1,2022-08-21T18:46:46.633Z,333333,2022-08-21T18:46:46.633Z,333333,U,Transaction:3964:1381,2022-08-21T18:46:46.839Z,2023-11-29T23:05:20.002Z
Trademark:0:87768642,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-10-12,null,1,2022-08-21T18:50:57.368Z,333333,2022-08-21T18:50:57.368Z,333333,U,Transaction:3964:1395,2022-08-21T18:50:57.542Z,2023-11-29T23:05:20.002Z
Trademark:0:87914004,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-10-12,null,1,2022-08-21T18:52:27.211Z,333333,2022-08-21T18:52:27.211Z,333333,U,Transaction:3964:1398,2022-08-21T18:52:27.369Z,2023-11-29T23:05:20.002Z
Trademark:0:87786379,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-09-20,null,1,2022-08-21T18:53:57.409Z,333333,2022-08-21T18:53:57.409Z,333333,U,Transaction:3964:1401,2022-08-21T18:53:57.649Z,2023-11-29T23:05:20.002Z
Trademark:0:87843639,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2022-04-18,null,1,2022-08-21T19:22:15.273Z,333333,2022-08-21T19:22:15.273Z,333333,U,Transaction:3964:1480,2022-08-21T19:22:15.370Z,2023-11-29T23:05:20.002Z
Trademark:0:87843614,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2022-04-18,null,1,2022-08-21T19:23:41.353Z,333333,2022-08-21T19:23:41.353Z,333333,U,Transaction:3964:1483,2022-08-21T19:23:41.467Z,2023-11-29T23:05:20.002Z
Trademark:0:87843618,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-10-04,null,1,2022-08-21T19:23:44.625Z,333333,2022-08-21T19:23:44.625Z,333333,U,Transaction:3964:1486,2022-08-21T19:23:44.710Z,2023-11-29T23:05:20.002Z
Trademark:0:87866848,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-10-25,null,1,2022-08-21T19:25:01.144Z,333333,2022-08-21T19:25:01.144Z,333333,U,Transaction:3964:1489,2022-08-21T19:25:01.247Z,2023-11-29T23:05:20.002Z
Trademark:0:88048085,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-09-13,null,1,2022-08-21T19:33:34.421Z,333333,2022-08-21T19:33:34.421Z,333333,U,Transaction:3964:1508,2022-08-21T19:33:34.533Z,2023-11-29T23:05:20.002Z
Trademark:0:88383171,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-10-14,null,1,2022-08-21T19:36:23.482Z,333333,2022-08-21T19:36:23.482Z,333333,U,Transaction:3964:1513,2022-08-21T19:36:23.657Z,2023-11-29T23:05:20.002Z
Trademark:0:88534159,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-08-04,null,1,2022-08-21T19:39:03.611Z,333333,2022-08-21T19:39:03.611Z,333333,U,Transaction:3964:1517,2022-08-21T19:39:03.781Z,2023-11-29T23:05:20.002Z
Trademark:0:88377864,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,N,Y,2021-10-20,null,1,2022-08-21T19:40:33.196Z,333333,2022-08-21T19:40:33.196Z,333333,U,Transaction:3964:1522,2022-08-21T19:40:33.343Z,2023-11-29T23:05:20.002Z
Trademark:0:88395618,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-10-22,null,1,2022-08-21T19:43:24.174Z,333333,2022-08-21T19:43:24.174Z,333333,U,Transaction:3964:1531,2022-08-21T19:43:24.323Z,2023-11-29T23:05:20.002Z
Trademark:0:72359650,N,N,N,N,N,N,N,N,N,N,N,N,2022-08-21,N,N,null,N,N,N,N,N,null,null,1,2022-08-21T19:43:51.972Z,333333,2022-08-21T19:43:51.972Z,333333,D,Transaction:3964:1534,2022-08-21T19:43:52.670Z,2022-08-21T19:43:52.670Z
Trademark:0:88311934,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-08-04,null,1,2022-08-21T19:44:44.743Z,333333,2022-08-21T19:44:44.743Z,333333,U,Transaction:3964:1537,2022-08-21T19:44:44.926Z,2023-11-29T23:05:20.002Z
Trademark:0:88311960,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-08-04,null,1,2022-08-21T19:46:14.170Z,333333,2022-08-21T19:46:14.170Z,333333,U,Transaction:3964:1542,2022-08-21T19:46:14.298Z,2023-11-29T23:05:20.002Z
Trademark:0:88592981,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-10-20,null,1,2022-08-21T19:54:28.426Z,333333,2022-08-21T19:54:28.426Z,333333,U,Transaction:3964:1559,2022-08-21T19:54:28.629Z,2023-11-29T23:05:20.002Z
Trademark:0:90234738,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2022-12-08,null,1,2022-08-22T06:32:41.176Z,333333,2022-08-22T06:32:41.176Z,333333,U,Transaction:3964:12851,2022-08-22T06:32:41.267Z,2022-11-08T16:54:26.376Z
Trademark:0:90025618,Y,N,N,N,N,N,N,N,N,N,Y,N,2022-08-05,N,N,2022-08-15,N,N,N,N,Y,2022-08-15,2022-08-05,1,2022-08-22T06:41:38.577Z,333333,2022-08-22T06:41:38.577Z,333333,U,Transaction:3964:12985,2022-08-22T06:41:38.657Z,2022-08-22T06:41:40.115Z
Trademark:0:90025618,Y,N,N,N,N,N,N,N,N,N,Y,N,2022-08-22,N,N,2022-08-15,N,N,N,N,Y,2022-08-15,2022-08-05,1,2022-08-22T06:41:40.028Z,333333,2022-08-22T06:41:40.028Z,333333,U,Transaction:3964:12986,2022-08-22T06:41:40.116Z,2022-08-22T06:41:48.592Z
Trademark:0:90025618,Y,N,N,Y,N,N,N,N,N,N,Y,N,null,N,N,2022-08-15,N,Y,N,N,Y,2022-08-15,2022-08-05,1,2022-08-22T06:41:48.522Z,333333,2022-08-22T06:41:48.522Z,333333,U,Transaction:3964:12987,2022-08-22T06:41:48.593Z,2022-08-22T06:41:49.772Z
Trademark:0:90025618,Y,N,N,Y,N,N,N,N,N,N,Y,N,2022-08-22,N,N,2022-08-15,N,Y,N,N,Y,2022-08-15,2022-08-05,1,2022-08-22T06:41:49.677Z,333333,2022-08-22T06:41:49.677Z,333333,U,Transaction:3964:12988,2022-08-22T06:41:49.773Z,2022-08-22T06:41:50.781Z
Trademark:0:90025618,Y,N,N,Y,N,N,N,N,N,N,Y,N,null,N,N,2022-08-15,N,Y,N,N,Y,2022-08-15,2022-08-05,1,2022-08-22T06:41:50.685Z,333333,2022-08-22T06:41:50.685Z,333333,U,Transaction:3964:12989,2022-08-22T06:41:50.782Z,2022-09-02T14:43:51.932Z
Trademark:0:88167620,N,N,N,N,N,N,N,N,N,N,Y,N,2022-08-02,N,N,null,Y,N,N,Y,Y,2022-06-10,null,1,2022-08-22T06:49:39.888Z,333333,2022-08-22T06:49:39.888Z,333333,U,Transaction:3964:13047,2022-08-22T06:49:39.982Z,2022-08-22T06:49:42.125Z
Trademark:0:88167620,N,N,N,N,N,N,N,N,N,N,Y,N,2022-08-22,N,N,null,Y,N,N,Y,Y,2022-06-10,null,1,2022-08-22T06:49:42.016Z,333333,2022-08-22T06:49:42.016Z,333333,U,Transaction:3964:13049,2022-08-22T06:49:42.126Z,2022-08-22T06:49:45.498Z
Trademark:0:88167620,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2022-12-12,null,1,2022-08-22T06:49:45.408Z,333333,2022-08-22T06:49:45.408Z,333333,U,Transaction:3964:13050,2022-08-22T06:49:45.499Z,2022-08-22T06:49:47.095Z
Trademark:0:88167620,N,N,N,N,N,N,N,N,N,N,Y,N,2022-08-22,N,N,null,N,N,N,Y,Y,2022-12-12,null,1,2022-08-22T06:49:47.010Z,333333,2022-08-22T06:49:47.010Z,333333,U,Transaction:3964:13051,2022-08-22T06:49:47.096Z,2022-08-22T06:49:53.119Z
Trademark:0:88167620,Y,N,N,N,N,N,N,N,N,N,Y,N,2022-08-02,N,N,2022-12-12,N,N,N,Y,Y,2022-12-12,2022-08-02,1,2022-08-22T06:49:53.035Z,333333,2022-08-22T06:49:53.035Z,333333,U,Transaction:3964:13052,2022-08-22T06:49:53.120Z,2022-08-22T06:49:54.484Z
Trademark:0:88167620,Y,N,N,Y,N,N,N,N,N,N,Y,N,null,N,N,2022-12-12,N,Y,N,Y,Y,2022-12-12,2022-08-02,1,2022-08-22T06:49:57.683Z,333333,2022-08-22T06:49:57.683Z,333333,U,Transaction:3964:13055,2022-08-22T06:49:57.788Z,2022-08-22T06:49:59.202Z
Trademark:0:88167620,Y,N,N,Y,N,N,N,N,N,N,Y,N,2022-08-22,N,N,2022-12-12,N,Y,N,Y,Y,2022-12-12,2022-08-02,1,2022-08-22T06:49:59.086Z,333333,2022-08-22T06:49:59.086Z,333333,U,Transaction:3964:13056,2022-08-22T06:49:59.203Z,2022-08-22T06:50:00.181Z
Trademark:0:88167620,Y,N,N,Y,N,N,N,N,N,N,Y,N,null,N,N,2022-12-12,N,Y,N,Y,Y,2022-12-12,2022-08-02,1,2022-08-22T06:50:00.073Z,333333,2022-08-22T06:50:00.073Z,333333,U,Transaction:3964:13057,2022-08-22T06:50:00.182Z,2022-09-02T14:33:45.281Z
Trademark:0:88876488,Y,N,N,N,N,N,N,N,N,N,Y,N,2022-08-05,N,N,2022-08-09,N,N,N,Y,Y,2022-08-09,2022-08-05,1,2022-08-22T06:50:02.069Z,333333,2022-08-22T06:50:02.069Z,333333,U,Transaction:3964:13058,2022-08-22T06:50:02.166Z,2022-08-22T06:50:03.551Z
Trademark:0:88516436,N,N,N,N,N,N,N,N,N,N,Y,N,2022-08-19,N,N,null,N,N,N,Y,Y,2023-01-12,null,1,2022-08-22T07:01:42.463Z,333333,2022-08-22T07:01:42.463Z,333333,U,Transaction:3964:13133,2022-08-22T07:01:42.708Z,2022-08-30T08:57:44.267Z
Trademark:0:76720812,N,N,N,N,N,N,N,N,N,N,Y,N,2022-08-19,N,N,null,N,N,N,Y,Y,2023-02-22,null,1,2022-08-22T07:01:48.771Z,333333,2022-08-22T07:01:48.771Z,333333,U,Transaction:3964:13134,2022-08-22T07:01:48.999Z,2022-08-30T08:58:56.250Z
Trademark:0:90712585,N,N,N,N,N,N,N,N,N,N,Y,N,2022-08-19,N,N,null,N,N,N,N,Y,2022-12-07,null,1,2022-08-22T07:01:57.024Z,333333,2022-08-22T07:01:57.024Z,333333,U,Transaction:3964:13137,2022-08-22T07:01:57.189Z,2022-08-30T09:46:48.770Z
Trademark:0:97322054,Y,N,N,N,N,N,N,N,N,N,N,N,null,N,N,null,N,Y,N,N,N,null,null,1,2022-08-22T07:04:04.975Z,333333,2022-08-22T07:04:04.975Z,333333,U,Transaction:3964:13237,2022-08-22T07:04:05.111Z,2023-01-20T16:08:19.421Z
Trademark:0:97011956,Y,N,N,N,N,N,N,N,N,N,N,N,null,N,N,null,N,Y,N,N,N,null,null,1,2022-08-22T07:04:05.323Z,333333,2022-08-22T07:04:05.323Z,333333,U,Transaction:3964:13241,2022-08-22T07:04:05.470Z,2022-10-14T11:11:46.087Z
Trademark:0:90977920,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2022-07-25,N,Y,N,N,Y,2022-07-25,2022-07-22,1,2022-08-22T07:04:57.601Z,333333,2022-08-22T07:04:57.601Z,333333,U,Transaction:3964:13272,2022-08-22T07:04:57.741Z,2022-08-26T12:13:59.793Z
Trademark:0:90977924,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2022-08-15,N,Y,N,N,Y,2022-08-15,2022-07-20,1,2022-08-22T07:05:26.704Z,333333,2022-08-22T07:05:26.704Z,333333,U,Transaction:3964:13312,2022-08-22T07:05:26.754Z,2022-08-26T12:33:31.523Z
Trademark:0:90753088,N,N,N,N,N,N,N,N,N,N,Y,N,2022-08-21,N,N,null,N,N,N,N,Y,2022-06-28,null,1,2022-08-21T01:16:57.188Z,333333,2022-08-21T01:16:57.188Z,333333,U,Transaction:3962:369,2022-08-21T01:16:57.369Z,2022-08-31T14:27:58.425Z
Trademark:0:85384754,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2013-02-21,N,Y,N,Y,Y,2013-02-21,2013-02-19,1,2022-08-21T13:32:46.145Z,333333,2022-08-21T13:32:46.145Z,333333,U,Transaction:3964:718,2022-08-21T13:32:46.323Z,2023-11-29T23:05:20.002Z
Trademark:0:85379885,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2012-08-21,N,Y,N,N,Y,2012-08-21,2012-04-09,1,2022-08-21T13:34:06.174Z,333333,2022-08-21T13:34:06.174Z,333333,U,Transaction:3964:723,2022-08-21T13:34:06.350Z,2023-11-29T23:05:20.002Z
Trademark:0:85382496,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2012-08-07,N,Y,N,N,Y,2012-08-07,2012-07-10,1,2022-08-21T13:36:27.265Z,333333,2022-08-21T13:36:27.265Z,333333,U,Transaction:3964:729,2022-08-21T13:36:27.492Z,2023-11-29T23:05:20.002Z
