fk_trademark_gid,fk_tm_party_role_cd,fk_party_role_sequence_no,fk_owner_type_id,owner_type_sequence_no,joint_owner_sequence_no,reel_num_tx,frame_num_tx,assignment_dt,lock_control_no,create_ts,create_user_id,last_mod_ts,last_mod_user_id,legacy_assignment_tx
Trademark:0:73648772,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:05.498Z,3333330005,2019-01-20T07:45:05.498Z,3333330005,null
Trademark:0:76107166,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:07.671Z,3333330005,2019-01-20T07:45:07.671Z,3333330005,null
Trademark:0:74295952,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:07.671Z,3333330005,2019-01-20T07:45:07.671Z,3333330005,null
Trademark:0:76066427,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:08.495Z,3333330005,2019-01-20T07:45:08.495Z,3333330005,null
Trademark:0:75684103,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:09.252Z,3333330005,2019-01-20T07:45:09.252Z,3333330005,null
Trademark:0:74410812,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:09.252Z,3333330005,2019-01-20T07:45:09.252Z,3333330005,null
Trademark:0:73773370,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:09.252Z,3333330005,2019-01-20T07:45:09.252Z,3333330005,null
Trademark:0:77564247,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:09.252Z,3333330005,2019-01-20T07:45:09.252Z,3333330005,null
Trademark:0:75121913,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:11.214Z,3333330005,2019-01-20T07:45:11.214Z,3333330005,null
Trademark:0:77330899,OWNER,1101,2,2,1,3846,0815,2008-02-01T00:00:00.000Z,0,2019-01-20T07:45:10.171Z,3333330005,2019-01-20T07:45:10.171Z,3333330005,null
Trademark:0:76035779,OWNER,3101,6,2,1,3496,0609,2007-02-28T00:00:00.000Z,0,2019-01-20T07:45:11.214Z,3333330005,2019-01-20T07:45:11.214Z,3333330005,null
Trademark:0:74590936,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:11.842Z,3333330005,2019-01-20T07:45:11.842Z,3333330005,null
Trademark:0:76411231,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:12.830Z,3333330005,2019-01-20T07:45:12.830Z,3333330005,null
Trademark:0:75522883,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:11.842Z,3333330005,2019-01-20T07:45:11.842Z,3333330005,null
Trademark:0:75256953,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:13.651Z,3333330005,2019-01-20T07:45:13.651Z,3333330005,null
Trademark:0:74647111,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:13.651Z,3333330005,2019-01-20T07:45:13.651Z,3333330005,null
Trademark:0:72358830,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:14.627Z,3333330005,2019-01-20T07:45:14.627Z,3333330005,null
Trademark:0:74184812,OWNER,3001,5,1,1,null,null,null,1,2020-10-09T17:12:23.469Z,333333,2020-10-09T17:12:23.469Z,333333,null
Trademark:0:74194020,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:15.424Z,3333330005,2019-01-20T07:45:15.424Z,3333330005,null
Trademark:0:75219799,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:16.043Z,3333330005,2019-01-20T07:45:16.043Z,3333330005,null
Trademark:0:72358785,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:15.424Z,3333330005,2019-01-20T07:45:15.424Z,3333330005,null
Trademark:0:76473781,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:17.351Z,3333330005,2019-01-20T07:45:17.351Z,3333330005,null
Trademark:0:74616631,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:17.351Z,3333330005,2019-01-20T07:45:17.351Z,3333330005,null
Trademark:0:76062063,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:17.351Z,3333330005,2019-01-20T07:45:17.351Z,3333330005,null
Trademark:0:77303070,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:17.351Z,3333330005,2019-01-20T07:45:17.351Z,3333330005,null
Trademark:0:75284772,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:17.351Z,3333330005,2019-01-20T07:45:17.351Z,3333330005,null
Trademark:0:76436364,OWNER,3201,6,3,1,4132,0296,2009-05-11T00:00:00.000Z,0,2019-01-20T07:45:18.198Z,3333330005,2019-01-20T07:45:18.198Z,3333330005,null
Trademark:0:76161920,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:19.252Z,3333330005,2019-01-20T07:45:19.252Z,3333330005,null
Trademark:0:73614386,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:19.252Z,3333330005,2019-01-20T07:45:19.252Z,3333330005,null
Trademark:0:72395474,OWNER,4101,6,12,1,null,null,null,0,2019-01-20T07:45:18.621Z,3333330005,2019-01-20T07:45:18.621Z,3333330005,BY CHANGE OF NAME FROM
Trademark:0:74702268,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:18.621Z,3333330005,2019-01-20T07:45:18.621Z,3333330005,null
Trademark:0:75031233,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:23.184Z,3333330005,2019-01-20T07:45:23.184Z,3333330005,null
Trademark:0:75105078,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:23.184Z,3333330005,2019-01-20T07:45:23.184Z,3333330005,null
Trademark:0:74051590,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:22.198Z,3333330005,2019-01-20T07:45:22.198Z,3333330005,null
Trademark:0:77567077,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:19.733Z,3333330005,2019-01-20T07:45:19.733Z,3333330005,null
Trademark:0:77304410,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:22.198Z,3333330005,2019-01-20T07:45:22.198Z,3333330005,null
Trademark:0:77304412,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:22.198Z,3333330005,2019-01-20T07:45:22.198Z,3333330005,null
Trademark:0:77107315,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:20.772Z,3333330005,2019-01-20T07:45:20.772Z,3333330005,null
Trademark:0:74200075,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:19.733Z,3333330005,2019-01-20T07:45:19.733Z,3333330005,null
Trademark:0:75005114,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:20.772Z,3333330005,2019-01-20T07:45:20.772Z,3333330005,null
Trademark:0:76672458,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:20.772Z,3333330005,2019-01-20T07:45:20.772Z,3333330005,null
Trademark:0:76700418,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:23.638Z,3333330005,2019-01-20T07:45:23.638Z,3333330005,null
Trademark:0:74609963,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:21.373Z,3333330005,2019-01-20T07:45:21.373Z,3333330005,null
Trademark:0:73739221,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:21.373Z,3333330005,2019-01-20T07:45:21.373Z,3333330005,null
Trademark:0:76220394,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:21.373Z,3333330005,2019-01-20T07:45:21.373Z,3333330005,null
Trademark:0:73663663,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:20.207Z,3333330005,2019-01-20T07:45:20.207Z,3333330005,null
Trademark:0:74304094,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:22.783Z,3333330005,2019-01-20T07:45:22.783Z,3333330005,null
Trademark:0:75492553,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:20.207Z,3333330005,2019-01-20T07:45:20.207Z,3333330005,null
Trademark:0:73691927,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:22.783Z,3333330005,2019-01-20T07:45:22.783Z,3333330005,null
Trademark:0:75019435,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:22.783Z,3333330005,2019-01-20T07:45:22.783Z,3333330005,null
Trademark:0:73717115,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:20.207Z,3333330005,2019-01-20T07:45:20.207Z,3333330005,null
Trademark:0:76645070,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:21.373Z,3333330005,2019-01-20T07:45:21.373Z,3333330005,null
Trademark:0:74606501,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:21.373Z,3333330005,2019-01-20T07:45:21.373Z,3333330005,null
Trademark:0:77127132,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:22.198Z,3333330005,2019-01-20T07:45:22.198Z,3333330005,null
Trademark:0:77127226,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:22.198Z,3333330005,2019-01-20T07:45:22.198Z,3333330005,null
Trademark:0:72376586,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:24.886Z,3333330005,2019-01-20T07:45:24.886Z,3333330005,null
Trademark:0:74510850,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:24.886Z,3333330005,2019-01-20T07:45:24.886Z,3333330005,null
Trademark:0:75028372,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:26.254Z,3333330005,2019-01-20T07:45:26.254Z,3333330005,null
Trademark:0:74703700,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:28.134Z,3333330005,2019-01-20T07:45:28.134Z,3333330005,null
Trademark:0:74075500,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:24.886Z,3333330005,2019-01-20T07:45:24.886Z,3333330005,null
Trademark:0:76202778,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:26.254Z,3333330005,2019-01-20T07:45:26.254Z,3333330005,null
Trademark:0:77263979,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:26.254Z,3333330005,2019-01-20T07:45:26.254Z,3333330005,null
Trademark:0:77587575,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:26.254Z,3333330005,2019-01-20T07:45:26.254Z,3333330005,null
Trademark:0:73772881,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:27.472Z,3333330005,2019-01-20T07:45:27.472Z,3333330005,null
Trademark:0:75228576,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:24.390Z,3333330005,2019-01-20T07:45:24.390Z,3333330005,null
Trademark:0:74598031,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:26.254Z,3333330005,2019-01-20T07:45:26.254Z,3333330005,null
Trademark:0:73747812,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:27.472Z,3333330005,2019-01-20T07:45:27.472Z,3333330005,null
Trademark:0:74407373,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:27.472Z,3333330005,2019-01-20T07:45:27.472Z,3333330005,null
Trademark:0:74312147,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:27.850Z,3333330005,2019-01-20T07:45:27.850Z,3333330005,null
Trademark:0:75097838,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:26.691Z,3333330005,2019-01-20T07:45:26.691Z,3333330005,null
Trademark:0:76106301,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:26.691Z,3333330005,2019-01-20T07:45:26.691Z,3333330005,null
Trademark:0:74026794,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:27.472Z,3333330005,2019-01-20T07:45:27.472Z,3333330005,null
Trademark:0:75718947,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:29.886Z,3333330005,2019-01-20T07:45:29.886Z,3333330005,null
Trademark:0:73640481,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:30.450Z,3333330005,2019-01-20T07:45:30.450Z,3333330005,null
Trademark:0:74320804,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:30.450Z,3333330005,2019-01-20T07:45:30.450Z,3333330005,null
Trademark:0:75434535,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:28.475Z,3333330005,2019-01-20T07:45:28.475Z,3333330005,null
Trademark:0:73701796,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:29.886Z,3333330005,2019-01-20T07:45:29.886Z,3333330005,null
Trademark:0:74719707,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:30.689Z,3333330005,2019-01-20T07:45:30.689Z,3333330005,null
Trademark:0:73569270,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:30.233Z,3333330005,2019-01-20T07:45:30.233Z,3333330005,null
Trademark:0:77524073,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:28.933Z,3333330005,2019-01-20T07:45:28.933Z,3333330005,null
Trademark:0:75280884,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:28.933Z,3333330005,2019-01-20T07:45:28.933Z,3333330005,null
Trademark:0:75730161,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:30.233Z,3333330005,2019-01-20T07:45:30.233Z,3333330005,null
Trademark:0:74233362,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:30.960Z,3333330005,2019-01-20T07:45:30.960Z,3333330005,null
Trademark:0:77642710,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:31.427Z,3333330005,2019-01-20T07:45:31.427Z,3333330005,null
Trademark:0:73569239,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:32.023Z,3333330005,2019-01-20T07:45:32.023Z,3333330005,null
Trademark:0:74200051,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:32.023Z,3333330005,2019-01-20T07:45:32.023Z,3333330005,null
Trademark:0:73476127,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:33.330Z,3333330005,2019-01-20T07:45:33.330Z,3333330005,null
Trademark:0:77349223,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:32.801Z,3333330005,2019-01-20T07:45:32.801Z,3333330005,null
Trademark:0:75975237,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:32.219Z,3333330005,2019-01-20T07:45:32.219Z,3333330005,null
Trademark:0:72374230,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:31.427Z,3333330005,2019-01-20T07:45:31.427Z,3333330005,null
Trademark:0:73499254,OWNER,4001,6,11,1,null,null,null,0,2019-01-20T07:45:32.219Z,3333330005,2019-01-20T07:45:32.219Z,3333330005,null
Trademark:0:74407118,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:32.219Z,3333330005,2019-01-20T07:45:32.219Z,3333330005,null
Trademark:0:74192659,OWNER,2001,3,1,1,null,null,null,0,2019-01-20T07:45:33.330Z,3333330005,2019-01-20T07:45:33.330Z,3333330005,null
Trademark:0:76397964,OWNER,3101,6,2,1,3496,0135,2004-06-22T00:00:00.000Z,0,2019-01-20T07:45:31.748Z,3333330005,2019-01-20T07:45:31.748Z,3333330005,null
Trademark:0:73582104,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:33.628Z,3333330005,2019-01-20T07:45:33.628Z,3333330005,null
Trademark:0:73714190,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:32.577Z,3333330005,2019-01-20T07:45:32.577Z,3333330005,null
Trademark:0:73769938,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:33.040Z,3333330005,2019-01-20T07:45:33.040Z,3333330005,null
Trademark:0:76552630,OWNER,3101,6,2,1,3779,0025,2007-04-30T00:00:00.000Z,0,2019-01-20T07:45:33.628Z,3333330005,2024-06-26T21:21:20.127Z,TEASC,null
Trademark:0:76373044,OWNER,1001,1,1,1,null,null,null,0,2019-01-20T07:45:33.040Z,3333330005,2019-01-20T07:45:33.040Z,3333330005,null
Trademark:0:74709443,OWNER,3001,5,1,1,null,null,null,0,2019-01-20T07:45:32.023Z,3333330005,2019-01-20T07:45:32.023Z,3333330005,null
