fk_trademark_gid,sequence_no,renewal_filed_dt,renewal_begin_effective_dt,renewal_end_effective_dt,lock_control_no,create_ts,create_user_id,last_mod_ts,last_mod_user_id,cfk_transaction_instance_gid,begin_effective_ts,end_effective_ts,action_ct
Trademark:0:70042226,1,1974-03-08T00:00:00.000Z,1974-03-08T00:00:00.000Z,null,0,2016-03-16T21:16:31.587Z,3333330002,2016-03-16T21:16:31.587Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.587Z,null,I
Trademark:0:70042227,1,1994-03-15T00:00:00.000Z,1994-03-15T00:00:00.000Z,null,0,2016-03-16T21:16:31.591Z,3333330002,2016-03-16T21:16:31.591Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.591Z,null,I
Trademark:0:70042374,1,1974-04-12T00:00:00.000Z,1974-04-12T00:00:00.000Z,null,0,2016-03-16T21:16:31.592Z,3333330002,2016-03-16T21:16:31.592Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.592Z,null,I
Trademark:0:70042375,1,1974-04-12T00:00:00.000Z,1974-04-12T00:00:00.000Z,null,0,2016-03-16T21:16:31.593Z,3333330002,2016-03-16T21:16:31.593Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.593Z,null,I
Trademark:0:70042467,1,1974-04-26T00:00:00.000Z,1974-04-26T00:00:00.000Z,null,0,2016-03-16T21:16:31.595Z,3333330002,2016-03-16T21:16:31.595Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.595Z,null,I
Trademark:0:70042650,1,2014-05-17T00:00:00.000Z,2014-05-17T00:00:00.000Z,null,0,2016-03-16T21:16:31.597Z,3333330002,2016-03-16T21:16:31.597Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.597Z,null,I
Trademark:0:70042663,1,2014-05-24T00:00:00.000Z,2014-05-24T00:00:00.000Z,null,0,2016-03-16T21:16:31.598Z,3333330002,2016-03-16T21:16:31.598Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.598Z,null,I
Trademark:0:70042694,1,1974-05-24T00:00:00.000Z,1974-05-24T00:00:00.000Z,null,0,2016-03-16T21:16:31.598Z,3333330002,2016-03-16T21:16:31.598Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.598Z,null,I
Trademark:0:70042796,1,1974-06-14T00:00:00.000Z,1974-06-14T00:00:00.000Z,null,0,2016-03-16T21:16:31.599Z,3333330002,2016-03-16T21:16:31.599Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.599Z,null,I
Trademark:0:70042883,1,1974-06-28T00:00:00.000Z,1974-06-28T00:00:00.000Z,null,0,2016-03-16T21:16:31.606Z,3333330002,2016-03-16T21:16:31.606Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.606Z,null,I
Trademark:0:70042909,1,1974-06-28T00:00:00.000Z,1974-06-28T00:00:00.000Z,null,0,2016-03-16T21:16:31.608Z,3333330002,2016-03-16T21:16:31.608Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.608Z,null,I
Trademark:0:70042919,1,2014-06-28T00:00:00.000Z,2014-06-28T00:00:00.000Z,null,0,2016-03-16T21:16:31.608Z,3333330002,2016-03-16T21:16:31.608Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.608Z,2022-04-27T12:06:10.073Z,I
Trademark:0:70042921,1,1974-06-28T00:00:00.000Z,1974-06-28T00:00:00.000Z,null,0,2016-03-16T21:16:31.609Z,3333330002,2016-03-16T21:16:31.609Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.609Z,null,I
Trademark:0:70043071,1,1983-01-24T00:00:00.000Z,1983-01-24T00:00:00.000Z,null,0,2016-03-16T21:16:31.613Z,3333330002,2016-03-16T21:16:31.613Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.613Z,null,I
Trademark:0:70043074,1,2004-08-02T00:00:00.000Z,2004-08-02T00:00:00.000Z,null,0,2016-03-16T21:16:31.614Z,3333330002,2016-03-16T21:16:31.614Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.614Z,2022-04-29T10:06:35.416Z,I
Trademark:0:70043162,1,1994-08-16T00:00:00.000Z,1994-08-16T00:00:00.000Z,null,0,2016-03-16T21:16:31.615Z,3333330002,2016-03-16T21:16:31.615Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.615Z,null,I
Trademark:0:70043259,1,1994-08-30T00:00:00.000Z,1994-08-30T00:00:00.000Z,null,0,2016-03-16T21:16:31.616Z,3333330002,2016-03-16T21:16:31.616Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.616Z,null,I
Trademark:0:70043312,1,1974-09-06T00:00:00.000Z,1974-09-06T00:00:00.000Z,null,0,2016-03-16T21:16:31.632Z,3333330002,2016-03-16T21:16:31.632Z,3333330002,Transaction:0:1,2016-03-16T21:16:31.632Z,null,I
