trademark_gid,fk_mark_drawing_type_cd,fk_fee_process_type_cd,serial_num_tx,registration_num,filing_dt,registry_ct,standard_character_tx,mark_description_tx,preferred_contact_method_ct,effective_filing_dt,collective_in,legacy_status_cd,lock_control_no,create_ts,create_user_id,last_mod_ts,last_mod_user_id,cfk_transaction_instance_gid,begin_effective_ts,end_effective_ts,status_dt,last_action_dt,action_ct,available_for_sou_in,external_reference_tx,last_event_type_cd,uspto_generated_image_in,fk_filed_fee_process_type_cd
Trademark:0:60000393,0,TEAS,60000393,393,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.337Z,3333330002,2016-03-16T21:09:49.337Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.337Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000394,0,TEAS,60000394,394,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.338Z,3333330002,2016-03-16T21:09:49.338Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.338Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000395,0,TEAS,60000395,395,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.338Z,3333330002,2016-03-16T21:09:49.338Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.338Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000396,0,TEAS,60000396,396,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.339Z,3333330002,2016-03-16T21:09:49.339Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.339Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000397,0,TEAS,60000397,397,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.340Z,3333330002,2016-03-16T21:09:49.340Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.340Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000399,0,TEAS,60000399,399,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.340Z,3333330002,2016-03-16T21:09:49.340Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.340Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000400,0,TEAS,60000400,400,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.341Z,3333330002,2016-03-16T21:09:49.341Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.341Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000402,0,TEAS,60000402,402,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.342Z,3333330002,2016-03-16T21:09:49.342Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.342Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000404,0,TEAS,60000404,404,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.343Z,3333330002,2016-03-16T21:09:49.343Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.343Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000405,0,TEAS,60000405,405,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.344Z,3333330002,2016-03-16T21:09:49.344Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.344Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000406,0,TEAS,60000406,406,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.344Z,3333330002,2016-03-16T21:09:49.344Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.344Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000407,0,TEAS,60000407,407,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.345Z,3333330002,2016-03-16T21:09:49.345Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.345Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000408,0,TEAS,60000408,408,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.345Z,3333330002,2016-03-16T21:09:49.345Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.345Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000001,0,TEAS,60000001,1,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:48.929Z,3333330002,2016-03-16T21:09:48.929Z,3333330002,Transaction:0:1,2016-03-16T21:09:48.929Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000002,0,TEAS,60000002,2,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.097Z,3333330002,2016-03-16T21:09:49.097Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.097Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000003,0,TEAS,60000003,3,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.097Z,3333330002,2016-03-16T21:09:49.097Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.097Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000004,0,TEAS,60000004,4,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.098Z,3333330002,2016-03-16T21:09:49.098Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.098Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000005,0,TEAS,60000005,5,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.098Z,3333330002,2016-03-16T21:09:49.098Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.098Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000006,0,TEAS,60000006,6,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.099Z,3333330002,2016-03-16T21:09:49.099Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.099Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000007,0,TEAS,60000007,7,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.100Z,3333330002,2016-03-16T21:09:49.100Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.100Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000009,0,TEAS,60000009,9,null,P,null,null,M,null,N,626,0,2016-03-16T21:09:49.101Z,3333330002,2016-03-16T21:09:49.101Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.101Z,2021-08-24T13:41:09.239Z,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,null
Trademark:0:60000011,0,TEAS,60000011,11,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.102Z,3333330002,2016-03-16T21:09:49.102Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.102Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000012,0,TEAS,60000012,12,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.103Z,3333330002,2016-03-16T21:09:49.103Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.103Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000013,0,TEAS,60000013,13,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.103Z,3333330002,2016-03-16T21:09:49.103Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.103Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000014,0,TEAS,60000014,14,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.104Z,3333330002,2016-03-16T21:09:49.104Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.104Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000016,0,TEAS,60000016,16,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.105Z,3333330002,2016-03-16T21:09:49.105Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.105Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000017,0,TEAS,60000017,17,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.106Z,3333330002,2016-03-16T21:09:49.106Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.106Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000018,0,TEAS,60000018,18,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.107Z,3333330002,2016-03-16T21:09:49.107Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.107Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000019,0,TEAS,60000019,19,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.107Z,3333330002,2016-03-16T21:09:49.107Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.107Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000020,0,TEAS,60000020,20,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.108Z,3333330002,2016-03-16T21:09:49.108Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.108Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000021,0,TEAS,60000021,21,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.109Z,3333330002,2016-03-16T21:09:49.109Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.109Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000022,0,TEAS,60000022,22,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.109Z,3333330002,2016-03-16T21:09:49.109Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.109Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000036,0,TEAS,60000036,36,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.111Z,3333330002,2016-03-16T21:09:49.111Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.111Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000037,0,TEAS,60000037,37,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.112Z,3333330002,2016-03-16T21:09:49.112Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.112Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000038,0,TEAS,60000038,38,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.112Z,3333330002,2016-03-16T21:09:49.112Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.112Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000040,0,TEAS,60000040,40,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.113Z,3333330002,2016-03-16T21:09:49.113Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.113Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000041,0,TEAS,60000041,41,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.114Z,3333330002,2016-03-16T21:09:49.114Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.114Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000042,0,TEAS,60000042,42,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.115Z,3333330002,2016-03-16T21:09:49.115Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.115Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000043,0,TEAS,60000043,43,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.115Z,3333330002,2016-03-16T21:09:49.115Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.115Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000044,0,TEAS,60000044,44,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.116Z,3333330002,2016-03-16T21:09:49.116Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.116Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000046,0,TEAS,60000046,46,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.116Z,3333330002,2016-03-16T21:09:49.116Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.116Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000047,0,TEAS,60000047,47,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.117Z,3333330002,2016-03-16T21:09:49.117Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.117Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000048,0,TEAS,60000048,48,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.118Z,3333330002,2016-03-16T21:09:49.118Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.118Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
