SER_NUM,TEST_PCTRAM_LINK,LAW_OFFICE,FILING_BASIS_CUR,FILING_METHOD_FILED,FILING_METHOD_CUR,FILING_BASIS_FIL,FILING_BASIS_AMED,REGISTRATION_NUMBER,AM_FLG_66A_FIL,AM_FLG_44D_FIL,AM_FLG_44E_FIL,FLG_PAPER_FIL,AM_STAT,AM_FLG_NO_BAS_FIL,AM_FLG_TEASRF_FIL,AM_FLG_USE_FIL,AM_FLG_ITU_FIL,AM_FLG_TEASPL_FIL,LAST_MODIFIED_DATE,FILING_BASIS_GRP,MARK_DWG_CD,MARK_DWG_DESC,MARK_NM_SHORT,MARK_NM,TMNG_IMAGE_LINK,TM_ANALYTICS_TS,EXMR_EID,STATUS_DT,create_ts,create_user_id,update_ts,update_user_id,SRCHRG_IND
50000009,https://review.tm-examcenter.aws.uspto.gov/review/50000009,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-18T06:03:23.000Z,USE,4,STANDARD CHARACTER MARK,LUMIE QUEEN OIL,LUMIE QUEEN OIL,http://tmng-al.uspto.gov/resting2/api/img/50000009/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T06:02:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000014,https://review.tm-examcenter.aws.uspto.gov/review/50000014,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-18T17:11:01.000Z,ITU,4,STANDARD CHARACTER MARK,TACOSCORE,TACOSCORE,http://tmng-al.uspto.gov/resting2/api/img/50000014/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T12:07:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000028,https://review.tm-examcenter.aws.uspto.gov/review/50000028,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-18T16:47:43.000Z,USE,4,STANDARD CHARACTER MARK,GOD'S ARMY,GOD'S ARMY,http://tmng-al.uspto.gov/resting2/api/img/50000028/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T03:18:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000059,https://review.tm-examcenter.aws.uspto.gov/review/50000059,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-18T16:32:21.000Z,ITU,4,STANDARD CHARACTER MARK,FOCCO SKILL,FOCCO SKILL,http://tmng-al.uspto.gov/resting2/api/img/50000059/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T05:30:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000090,https://review.tm-examcenter.aws.uspto.gov/review/50000090,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-18T18:20:13.000Z,ITU,4,STANDARD CHARACTER MARK,PILLAR,PILLAR,http://tmng-al.uspto.gov/resting2/api/img/50000090/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T08:41:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000103,https://review.tm-examcenter.aws.uspto.gov/review/50000103,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-18T18:00:12.000Z,ITU,4,STANDARD CHARACTER MARK,SCPM GATE,SCPM GATE,http://tmng-al.uspto.gov/resting2/api/img/50000103/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T09:30:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000119,https://review.tm-examcenter.aws.uspto.gov/review/50000119,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-18T17:53:52.000Z,ITU,4,STANDARD CHARACTER MARK,BENOOSH,BENOOSH,http://tmng-al.uspto.gov/resting2/api/img/50000119/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T10:17:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000125,https://review.tm-examcenter.aws.uspto.gov/review/50000125,null,44E,BASE,BASE,44E,,0,0,0,1,null,630,0,0,0,0,0,2026-07-18T17:50:34.000Z,44E,4,STANDARD CHARACTER MARK,PIKAYAMBA,PIKAYAMBA,http://tmng-al.uspto.gov/resting2/api/img/50000125/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T10:34:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000127,https://review.tm-examcenter.aws.uspto.gov/review/50000127,null,USE,BASE,BASE,USE,,0,0,0,0,null,630,0,0,1,0,0,2026-07-18T17:24:21.000Z,USE,3,AN ILLUSTRATION DRAWING WHICH INCLUDES WORD(S)/LETTER(S)/NUMBER(S),AGERITE PHARMACY & WELLNESS CENTER,AGERITE PHARMACY & WELLNESS CENTER,http://tmng-al.uspto.gov/resting2/api/img/50000127/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T10:42:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
50000150,https://review.tm-examcenter.aws.uspto.gov/review/50000150,null,ITU,BASE,BASE,ITU,,0,0,0,0,null,630,0,0,0,1,0,2026-07-18T17:17:56.000Z,ITU,3,AN ILLUSTRATION DRAWING WHICH INCLUDES WORD(S)/LETTER(S)/NUMBER(S),SS,SS,http://tmng-al.uspto.gov/resting2/api/img/50000150/Large,2026-09-08T08:10:39.000Z,0,2026-07-18T11:30:07.000Z,2026-09-08T08:10:39.573Z,-1,2026-09-08T08:10:39.573Z,-1,null
