class_status,class,ser_num,cl_cls_us_ct,cl_cls_us,cl_dt_stat,cl_flg_anoth_form,vt_ser_num,vt_class,goods_and_services_desc,create_ts,create_user_id,update_ts,update_user_id
ACTIVE,025,50000017,2,"022,039,",2026-07-18,0,50000017,025,Clothing layettes; Clothing jackets; Clothing headwraps; Gloves as clothing; Clothing jacket liners; Clothing head wraps; Gloves being clothing,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,042,50000024,2,"100,101,",2026-07-18,0,50000024,042,Artificial intelligence as a service (AIAAS) services featuring software using artificial intelligence (AI) for data processing and evaluation of computer software and artificial intelligence models,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,012,50000050,6,"019,021,023,031,035,044,",2026-07-18,0,50000050,012,Spare wheel covers; Roof rack storage containers for land vehicles; Roof racks; Glass windows for vehicles; Cup holders for use in vehicles; Arm rests for vehicles,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,025,50000057,2,"022,039,",2026-07-18,0,50000057,025,"Bathing costumes; Clothing, namely, base layers; Travel clothing contained in a package comprising reversible jackets, pants, skirts, tops and a belt or scarf; Infant wear; Underpants; Formalwear, namely, dresses, gowns, tuxedos, dinner jackets, trousers and footwear; Women's clothing, namely, shirts, dresses, skirts, blouses; Night gowns; Panties, shorts and briefs; Women's underclothing",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,011,50000091,6,"013,021,023,024,031,034,",2026-07-18,0,50000091,011,"Electric boilers; Toilet bowls; Showers; Toilets; Toilet seats; Kitchen sinks; Urinals being sanitary fixtures; Freezers; Faucets; Electrically-heated carpets; Electric stoves; Wash-hands basins being parts of sanitary installations; Lighting apparatus, namely, lighting installations; Drinking fountains",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,041,50000093,3,"100,101,107,",2026-07-18,0,50000093,041,"Providing educational mentoring services and programs in the field of Christian faith, spiritual development, leadership development, personal growth and life skills for teenage girls",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,025,50000123,2,"022,039,",2026-07-18,0,50000123,025,Scarfs; Neck scarfs,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,021,50000135,8,"002,013,023,029,030,033,040,050,",2026-07-18,0,50000135,021,Handles and hand grips for water bottles and beverage containers,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,028,50000150,4,"022,023,038,050,",2026-07-18,0,50000150,028,Cricket balls; Cricket bats,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,020,50000152,6,"002,013,022,025,032,050,",2026-07-18,0,50000152,020,"Furniture; Picture and photograph frames; Furniture made from wood or substitutes for wood; Kitchen furniture, namely, ready to assemble mobile kitchen islands; Placards of wood or plastic; Deck chairs; Pet crates; Play yards for pets",2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,037,50000259,3,"100,103,106,",2026-07-18,0,50000259,037,Real estate development,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,016,50000321,8,"002,005,022,023,029,037,038,050,",2026-07-18,0,50000321,016,Printed children's books; Personalized printed coloring books for children,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
ACTIVE,044,50000334,2,"100,101,",2026-07-18,0,50000334,044,Providing a website featuring information regarding healthy living and lifestyle wellness,2026-09-08T08:09:41.815Z,-1,2026-09-08T08:09:41.815Z,-1
