ser_num,filing_dt,ib_notification_dt,dv_type,ref_ser_num,dv_dt_rqst,dv_dt_complete,last_modified_date,trans_dt,create_ts,create_user_id,update_ts,update_user_id
75348887,1997-08-28,null,PARENT,75979358,null,2000-09-25,2016-03-16,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
76978157,2004-07-08,null,CHILD,76601153,2006-06-05,2006-06-05,2026-07-20,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
77980475,2009-01-12,null,CHILD,77647822,2010-10-13,2010-10-13,2017-07-14,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
77981179,2009-06-30,null,CHILD,77771752,2011-01-19,2011-01-19,2021-11-26,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
78976276,2003-09-15,null,CHILD,78300506,2005-07-20,2005-07-20,2026-07-10,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
78978126,2005-12-22,null,CHILD,78779328,2007-02-12,2007-02-12,2016-04-22,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
85617786,2012-05-05,null,PARENT,85981633,null,2014-04-10,2022-02-25,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
85818680,2013-01-09,null,PARENT,85984359,null,2018-09-11,2026-08-07,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
85835110,2013-01-29,null,PARENT,85981679,null,2014-04-02,2022-02-25,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
86977005,2014-07-09,null,CHILD,86332597,2015-08-12,2015-08-12,2022-04-01,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
86978567,2015-01-08,null,CHILD,86498336,2016-03-10,2016-03-10,2022-12-16,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
86982019,2016-01-08,null,CHILD,86869452,2017-03-22,2017-03-22,2023-11-10,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
86983768,2016-02-26,null,CHILD,86921943,2018-03-21,2018-03-21,2024-10-23,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
87151010,2016-08-25,null,PARENT,87979120,null,2018-11-15,2025-09-18,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
87979871,2016-10-20,null,CHILD,87210554,2019-02-07,2019-02-07,2026-04-15,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
87983708,2018-05-01,null,CHILD,87902888,2021-02-08,2021-02-08,2023-07-01,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
88416921,2019-05-06,null,PARENT,88979790,null,2020-12-08,2024-04-30,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
88564696,2019-08-02,null,PARENT,88977737,null,2020-05-06,2026-08-25,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
88629990,2019-09-25,null,PARENT,88984816,null,2022-11-22,2023-09-25,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
88977920,2018-10-02,null,CHILD,88140444,2020-05-22,2020-05-22,2021-10-11,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
88979670,2019-11-25,null,CHILD,88705271,2020-11-23,2020-11-23,2022-12-16,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
97129979,2021-11-17,null,PARENT,97975296,null,2023-01-13,2024-12-13,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
97256780,2022-02-07,null,PARENT,97979278,null,2024-11-12,2025-05-13,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
97691468,2022-11-24,null,PARENT,97980322,null,2025-06-24,2025-06-24,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
97739460,2023-01-03,null,PARENT,97979978,null,2025-04-01,2025-12-02,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
97976905,2021-09-09,null,CHILD,97020201,2023-11-13,2023-11-13,2025-01-07,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
97980078,2022-01-29,null,CHILD,97245348,2025-05-13,2025-05-13,2025-10-14,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
97981379,2022-03-21,null,CHILD,97322702,2026-05-18,2026-05-18,2026-08-29,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
98267335,2023-11-13,null,PARENT,98975323,null,2024-12-19,2025-11-04,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
98976897,2024-01-18,null,CHILD,98363594,2025-10-26,2025-10-26,2025-12-02,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
73829836,1989-10-06,null,PARENT,74800050,null,1990-07-27,2016-03-16,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
75092737,1996-04-10,null,PARENT,75977106,null,1998-04-28,2016-03-16,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
75980816,1997-07-24,null,CHILD,75330172,2001-05-11,2001-07-16,2016-03-16,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
76977693,2002-06-28,null,CHILD,76426079,2005-08-15,2005-08-15,2025-03-31,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
76978723,2005-12-19,null,CHILD,76652077,2007-11-02,2007-11-02,2018-08-17,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
77898929,2009-12-22,null,PARENT,77980553,null,2010-10-07,2023-06-30,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
77981474,2009-01-16,null,CHILD,77651633,2011-03-04,2011-03-04,2017-12-01,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
78562356,2005-02-07,null,PARENT,78978729,null,2007-06-08,2016-03-16,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
79091746,2010-11-12,2011-01-27,PARENT,79975687,null,2023-03-11,2023-03-11,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
85479394,2011-11-22,null,PARENT,85977780,null,2012-10-11,2016-03-16,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
85647205,2012-06-08,null,PARENT,85982456,null,2014-08-07,2017-01-08,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
85687220,2012-07-26,null,PARENT,85980307,null,2013-09-24,2017-01-08,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
85981196,2013-02-01,null,CHILD,85838896,2014-02-11,2014-02-11,2020-10-30,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
87346896,2017-02-23,null,PARENT,87980174,null,2019-03-08,2020-09-29,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
87860091,2018-04-02,null,PARENT,87981610,null,2019-08-01,2022-02-28,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
87978477,2016-09-14,null,CHILD,87171410,2018-09-07,2018-09-07,2025-05-09,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
87982099,2018-03-14,null,CHILD,87834092,2019-10-10,2019-10-10,2020-07-21,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
88978581,2019-08-29,null,CHILD,88598816,2020-08-20,2020-08-20,2023-12-25,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
88983712,2020-01-27,null,CHILD,88774029,2022-01-25,2022-01-25,2025-01-21,null,2026-09-08T08:35:17.607Z,-1,2026-09-08T08:35:17.607Z,-1
