FP_ID,CATEGORY,FK_FP_CATEGORY_ID,FK_FP_GROUP_ID,TITLE_TX,SER_NUM,FP_YEAR,FK_WRKR_ID,ACTION_COUNT,TRANSACTION_NO,TRANSACTIONAL_LITERAL,COMPLETED_DT,GROUP_NAME,COMPLETED_TS,TM_ANALYTICS_TS,CURRENT_TITLE
15G1,ID - no goods/services,318,9,No Goods/Services,-1,2020,null,null,0,(ProcWiz),2020-08-03,REQUIREMENT,2020-08-03T11:03:23.000Z,2020-08-04T01:36:37.000Z,No Goods/Services
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,87803503,2026,20008,1,7014,Office Action - Response Required,2026-08-18,REQUIREMENT,2026-08-18T08:18:39.694Z,null,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,87803503,2026,20008,2,7014,Office Action - Response Required,2026-08-18,REQUIREMENT,2026-08-18T08:18:39.694Z,null,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,79221555,2026,70187,1,7012,Office Action - Response Required,2025-12-22,REQUIREMENT,2025-12-22T10:08:07.679Z,null,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,79221555,2026,70187,2,7006,Office Action - Response Required,2025-12-22,REQUIREMENT,2025-12-22T10:08:07.679Z,null,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,85793040,2025,20007,4,7012,Office Action - Response Required,2025-09-22,REQUIREMENT,2025-09-22T16:57:49.332Z,null,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,85793040,2025,20007,3,7012,Office Action - Response Required,2025-09-22,REQUIREMENT,2025-09-22T16:57:49.332Z,null,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,-1,2012,null,null,0,(ProcWiz),2012-03-19,REQUIREMENT,2012-03-19T11:27:06.000Z,2019-05-29T13:26:46.000Z,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,-1,2011,null,null,0,(ProcWiz),2011-07-26,REQUIREMENT,2011-07-26T14:11:55.000Z,2019-05-29T13:26:46.000Z,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,-1,2013,null,null,0,(ProcWiz),2012-12-05,REQUIREMENT,2012-12-05T11:40:11.000Z,2019-05-29T13:42:17.000Z,Omitted Goods/Services - Clarification Required
15G4,ID - omitted goods/services,321,9,Omitted Goods/Services - Clarification Required,-1,2013,null,null,0,(ProcWiz),2013-07-13,REQUIREMENT,2013-07-13T17:49:47.000Z,2019-05-29T13:57:13.000Z,Omitted Goods/Services - Clarification Required
