serial_number,ph_action_number,ph_action_code,cm_sys_dt,ph_action_date,last_modified_date,oracle_apply_time,cm_prcd_num,ri_notif_dt,cm_desc,fifth_char_cm_type,cm_flg_paper,ttab_tracking_num,tm_worker_eid,create_ts,create_user_id,update_ts,update_user_id
50011183,2,MAFR,2026-07-24,2026-07-24,2026-07-24T09:28:08.000Z,null,TMNS,null,APPLICATION FILING RECEIPT MAILED,O,1,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
50031592,1,NWAP,2026-08-04,2026-08-04,2026-08-04T16:39:08.000Z,null,EFILE,null,NEW APPLICATION ENTERED,I,0,null,EFILE,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
50049695,2,MAFR,2026-08-13,2026-08-13,2026-08-13T17:48:07.000Z,null,TMNS,null,APPLICATION FILING RECEIPT MAILED,O,1,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
71129087,4,CAEX,null,2001-09-08,2001-09-08T00:00:00.000Z,null,0,null,CANCELLED SEC. 8 (10-YR)/EXPIRED SECTION 9,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
71323262,11,CORV,2009-06-23,2009-06-23,2009-06-23T12:26:29.000Z,null,61619,null,REVIEW OF CORRESPONDENCE COMPLETE,P,0,null,61619,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
71368577,21,PLGL,null,2007-12-18,2007-12-18T00:00:00.000Z,null,59136,null,ASSIGNED TO PARALEGAL,A,0,null,59136,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
71449184,1,REN2,null,1982-08-18,1982-08-18T00:00:00.000Z,null,0,null,REGISTERED AND RENEWED (SECOND RENEWAL - 20 YRS),R,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
71529237,2,EXRG,null,1992-11-03,1992-11-03T00:00:00.000Z,null,0,null,EXPIRED SEC. 9,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
72021633,22,NA89,2017-09-22,2017-09-22,2017-09-22T23:02:07.000Z,null,0,null,NOTICE OF ACCEPTANCE OF SEC. 8 & 9 - E-MAILED,E,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
72114120,4,CAEX,null,2002-07-20,2002-07-20T00:00:00.000Z,null,0,null,CANCELLED SEC. 8 (10-YR)/EXPIRED SECTION 9,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
72288002,17,89AG,2018-08-23,2018-08-23,2018-08-23T13:12:46.000Z,null,74272,null,REGISTERED - SEC. 8 (10-YR) ACCEPTED/SEC. 9 GRANTED,O,0,null,74272,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
72296234,23,EWOR,2021-01-05,2021-01-05,2021-01-05T18:07:32.000Z,null,0,null,TEAS WITHDRAWAL AS DOMESTIC REPRESENTATIVE RECEIVED,I,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
72375932,13,ASCK,2016-04-13,2016-04-13,2016-04-13T23:00:06.000Z,null,0,null,ASSIGNMENT OF OWNERSHIP NOT UPDATED AUTOMATICALLY,I,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
72418364,1,C15A,null,1979-08-28,1979-08-28T00:00:00.000Z,null,0,null,REGISTERED - SEC. 8 (6-YR) ACCEPTED & SEC. 15 ACK.,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73051269,1,C15A,null,1981-07-27,1981-07-27T00:00:00.000Z,null,0,null,REGISTERED - SEC. 8 (6-YR) ACCEPTED & SEC. 15 ACK.,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73060424,16,ASGN,2022-11-25,2022-11-25,2022-11-25T19:00:06.000Z,null,0,null,AUTOMATIC UPDATE OF ASSIGNMENT OF OWNERSHIP,I,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73175754,12,89AG,null,2001-08-10,2001-08-10T00:00:00.000Z,null,0,null,REGISTERED - SEC. 8 (10-YR) ACCEPTED/SEC. 9 GRANTED,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73187362,9,TCCA,2013-03-01,2013-02-28,2013-03-01T09:32:18.000Z,null,0,null,TEAS CHANGE OF CORRESPONDENCE RECEIVED,I,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73240586,2,CNRT,null,1980-12-15,1980-12-15T00:00:00.000Z,null,0,null,NON-FINAL ACTION MAILED,F,1,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73254521,16,PR89,null,2003-08-14,2003-08-14T00:00:00.000Z,null,0,null,POST REGISTRATION ACTION MAILED - SEC. 8 & 9,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73268827,2,R.PR,null,1982-06-01,1982-06-01T00:00:00.000Z,null,0,null,REGISTERED-PRINCIPAL REGISTER,A,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73321558,13,C15A,null,1989-09-26,1989-09-26T00:00:00.000Z,null,0,null,REGISTERED - SEC. 8 (6-YR) ACCEPTED & SEC. 15 ACK.,O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73336287,3,CRFA,null,1983-07-18,1983-07-18T00:00:00.000Z,null,0,null,CORRESPONDENCE RECEIVED IN LAW OFFICE,I,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73346107,14,RNL1,null,2003-06-06,2003-06-06T00:00:00.000Z,null,0,null,REGISTERED AND RENEWED (FIRST RENEWAL - 10 YRS),Q,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73363272,9,C8..,null,1990-11-26,1990-11-26T00:00:00.000Z,null,0,null,CANCELLED SEC. 8 (6-YR),O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73367399,1,DOCK,null,1983-03-17,1983-03-17T00:00:00.000Z,null,0,null,ASSIGNED TO EXAMINER,D,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73374682,6,PUBO,null,1983-05-31,1983-05-31T00:00:00.000Z,null,0,null,PUBLISHED FOR OPPOSITION,A,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73402029,2,CNRT,null,1983-09-08,1983-09-08T00:00:00.000Z,null,0,null,NON-FINAL ACTION MAILED,F,1,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
73414121,9,C8..,null,1991-07-29,1991-07-29T00:00:00.000Z,null,0,null,CANCELLED SEC. 8 (6-YR),O,0,null,null,2026-09-08T08:11:32.449Z,-1,2026-09-08T08:11:32.449Z,-1
