mailing_address_gid,name_line_1_tx,name_line_2_tx,street_line_1_tx,street_line_2_tx,city_nm,geographic_region_cd,geographic_region_nm,postal_cd,country_cd,country_nm,department_nm,address_type_ct,lock_control_no,create_ts,create_user_id,last_mod_ts,last_mod_user_id,cfk_transaction_instance_gid,begin_effective_ts,end_effective_ts,action_ct
MailingAddr:0:51876,"UNITED STATES BAKING COMPANY, INC.   ",null, ,"P.O. BOX 1488 TERRE HAUTE, IND., BY CHANGE OF NAME FROM MILLER-PARROTT BAKING COMPANY, INC. (INDIANA CORPORATION) TERRE HAUTE, IND.", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,null,I
MailingAddr:0:51877,"Texize Chemicals, Inc.   ",null,P.O. BOX 368 , ,Greenville,SC,SOUTH CAROLINA, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,2020-07-28T18:58:35.749Z,I
MailingAddr:0:52398,"KOPPERS COMPANY, INC.   ",null, ,"KOPPERS BLDG. PITTSBURGH, PA. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,null,I
MailingAddr:0:52399,MEAD JOHNSON & COMPANY   ,null, ,"2404 PENNSYLVANIA ST. EVANSVILLE, IND. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,null,I
MailingAddr:0:52400,REXALL DRUG AND CHEMICAL COMPANY   ,null, ,8480 BEVERLY BLVD. ,LOS ANGELES,CA,CALIFORNIA, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,null,I
MailingAddr:0:52401,"ACCURA, LTD.   ",null, ,"708 BYRON AVE. FRANKLIN SQUARE, N.Y. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,null,I
MailingAddr:0:52402,"LEE BEGMAN, INC.   ",null, ,"9 E. 37TH ST. NEW YORK 16, N.Y. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,null,I
MailingAddr:0:52403,"BOW MASTER, INC.   ",null, ,18 N. 4TH ST. ,MINNEAPOLIS,MN,MINNESOTA,55403,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,null,I
MailingAddr:0:11287,QUEST INTERNATIONAL NEDERLAND B.V.   ,null, ,Huizerstraatweg 28 ,1411 GP Naarden,null,null, ,NL,NETHERLANDS,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,null,I
MailingAddr:0:11288,Kayser-Roth Corporation   ,null, , ,New York,NY,NEW YORK, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,null,I
MailingAddr:0:11588,"Fuel Distributors, Inc.   ",null, ,"4 North 3rd Street, P.O. Box 6117 ",Temple,TX,TEXAS,76503,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,null,I
MailingAddr:0:11589,ORANGE-CRUSH COMPANY   ,null, ,"CHICAGO, ILL. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,null,I
MailingAddr:0:11590,A. Stein & Company   ,null, ,1143 West Congress Street ,Chicago,IL,ILLINOIS, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,null,I
MailingAddr:0:11591,Kayser-Roth Corporation   ,null, , ,New York,NY,NEW YORK, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,null,I
MailingAddr:0:11592,VANITY FAIR SILK MILLS   ,null, ,"READING, PA. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,null,I
MailingAddr:0:11593,CLIFF C. OWEN   ,null, ,"SALISBURY, N.C. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,null,I
MailingAddr:0:11594,"Cosmos Dental Products, Inc.   ",null, ,115 West 45th Street ,New York,NY,NEW YORK, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.573Z,3333330003,2019-01-20T05:11:22.573Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.573Z,null,I
MailingAddr:0:11595,Syntex (U.S.A.) Inc.   ,null, , ,Palo Alto,CA,CALIFORNIA, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.718Z,3333330003,2019-01-20T05:11:22.718Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.718Z,null,I
MailingAddr:0:11596,GREEN BAY FOOD COMPANY   ,null, ,"GREEN BAY, WIS. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.718Z,3333330003,2019-01-20T05:11:22.718Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.718Z,null,I
